id,review
1,"The latte was silky smooth and the beans were perfectly roasted — one of the best coffees I have ever had!"
2,"Waited twenty-five minutes for my food and the staff never even apologized."
3,"Quiet space with plenty of power outlets — perfect for working on a laptop all afternoon."
4,"The drinks are not bad, but six dollars for a plain americano is outrageous."
5,"The staff were friendly and patient, and the single-origin beans they recommended were exactly my taste."
6,"The restroom smelled bad and the tables were sticky — it really ruined the whole experience."
7,"The scone was so dry I could barely swallow it, though the jam was nice."
8,"Just an ordinary chain cafe. Nothing special, but nothing terrible either."
9,"The weekday lunch combo is a great deal — excellent value for money!"
10,"The music was so loud that my friend and I had to shout at each other."
11,"The pour-over was wonderfully aromatic, and the tiramisu from the dessert case blew me away."
12,"The cashier seemed annoyed at checkout, like we were interrupting his phone time."
13,"Cozy corner seats by the window, warm lighting, soft jazz — I could stay here forever."
14,"My cappuccino arrived lukewarm and tasted burnt. Disappointing for the price."
15,"The barista remembered my usual order after just two visits. That kind of service keeps me coming back."
16,"Eight dollars for a slice of cake the size of my thumb? Never again."
17,"Decent coffee, average pastries. It does the job when I'm in the neighborhood."
18,"The avocado toast was fresh and generous — easily the best brunch item on the menu."
19,"We stood at the counter for five minutes before anyone even looked up."
20,"Air conditioning was broken and the whole place felt like a sauna."
21,"Happy hour half-price desserts are an absolute steal. We ordered three!"
22,"The matcha latte tasted like sweetened grass water. Not for me."
23,"Staff helped us push tables together for a birthday party and even brought a free candle. So thoughtful!"
24,"Parking nearby is impossible and the place is cramped, but the espresso is honestly decent."
25,"The new seasonal menu is creative — the orange cold brew surprised me in a good way."
26,"Found a hair in my sandwich. The manager apologized, but I lost my appetite."
27,"Prices went up again this month. The quality is the same, it just costs more now."
28,"Plenty of seats even on a Sunday afternoon, and the plants make it feel like a small garden."
29,"The waiter mixed up our orders twice and then argued that we were wrong."
30,"It's fine. Coffee is coffee. I wouldn't go out of my way to come here."
31,"Their house-baked sourdough is incredible — crispy crust, soft inside, worth the trip alone."
32,"The table wobbled the entire time and my coffee kept spilling. Annoying."
33,"Free refills on drip coffee before 10 am — students, take notes."
34,"The croissant was clearly from yesterday, hard at the edges and stale inside."
35,"Loved the rooftop seating — sunset view with a flat white in hand, perfect end to the day."
36,"The card machine was broken and they only mentioned it after we ordered. Cash only? In this decade?"
37,"Portions have gotten smaller while prices stayed the same. Quiet downgrade."
38,"Super clean, spacious, and the staff greet you the moment you walk in. A model cafe."
39,"The iced tea was basically colored water. Skip it."
40,"Solid neighborhood spot — nothing fancy, fair prices, reliable quality."
